Layer,ScenarioId,Actor,Action,Expected,Observed,Result,Note
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/employee/me عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=3575,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/employee/me عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=3575,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/employee/me عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=3575,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/my-reports عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2663,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/my-reports عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2663,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/my-reports عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2663,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/performance عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2336,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/performance عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2336,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/performance عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2336,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/governance عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=603,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/governance عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=603,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/governance عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=603,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/clients عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1380,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/clients عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1380,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/clients عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1380,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/users عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=10427,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/users عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=10427,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/users عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=10427,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/teams عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=5485,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/teams عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=5485,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/teams عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=5485,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/submissions عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=4785,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/submissions عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=4785,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/submissions عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=4785,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/kpi عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2336,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/kpi عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2336,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/kpi عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2336,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/report-templates عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=3812,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/report-templates عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=3812,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/report-templates عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=3812,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/kpi-templates عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1345,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/kpi-templates عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1345,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/kpi-templates عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1345,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/workflows عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=4989,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/workflows عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=4989,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/workflows عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=4989,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/analytics عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1671,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/analytics عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1671,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/analytics عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1671,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/compliance عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2350,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/compliance عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2350,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,adm,تحميل /app/compliance عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2350,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1695,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1695,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1695,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/employee/me عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=3596,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/employee/me عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=3596,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/employee/me عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=3596,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/my-reports عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2673,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/my-reports عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2673,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/my-reports عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2673,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/performance عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2344,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/performance عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2344,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/performance عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2344,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/governance عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=611,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/governance عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=611,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/governance عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=611,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/clients عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1388,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/clients عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1388,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/clients عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1388,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/job-roles عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=3367,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/job-roles عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=3367,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/job-roles عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=3367,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/reports عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1818,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/reports عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1818,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/reports عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1818,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/compliance عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2358,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/compliance عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2358,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/compliance عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2358,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/workflows عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=4997,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/workflows عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=4997,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/workflows عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=4997,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/development عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2126,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/development عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2126,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/development عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2126,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/submissions عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=4793,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/submissions عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=4793,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,exec,تحميل /app/submissions عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=4793,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1662,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1662,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1662,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/employee/me عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=3569,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/employee/me عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=3569,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/employee/me عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=3569,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/my-reports عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2676,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/my-reports عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2676,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/my-reports عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2676,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/performance عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1674,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/performance عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1674,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/performance عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1674,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/governance عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=579,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/governance عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=579,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/governance عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=579,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/clients عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1299,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/clients عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1299,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/clients عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1299,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/users عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=8514,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/users عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=8514,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/users عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=8514,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/reports عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=1806,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/reports عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=1806,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/reports عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=1806,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/compliance عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=2346,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/compliance عند 768px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=768 cw=768 textLen=2346,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/compliance عند 1440px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=1440 cw=1440 textLen=2346,PASS,
UI,UAT-P3-NAV-NO-HORIZONTAL-OVERFLOW,gov,تحميل /app/workflows عند 390px,scrollWidth<=clientWidth وصفحة غير فارغة,sw=390 cw=390 textLen=4985,PASS,
