ScenarioID,الوصف,المتوقَّع,المقيس,الحالة,الدليل,CandidateSHA,البيئة
S-AUTH-BAD,دخول بكلمة مرور خاطئة,401,HTTP 401,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-AUTH-ANON,/auth/me بلا رمز,401,HTTP 401,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-PERM-DENY-rc-admin,لوحة HR قبل المنح (Admin),403 منع افتراضيّ,HTTP 403,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-PERM-DENY-rc-hr,لوحة HR قبل المنح (HR),403 منع افتراضيّ,HTTP 403,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-PERM-DENY-rc-mgr,لوحة HR قبل المنح (Manager),403 منع افتراضيّ,HTTP 403,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-PERM-DENY-rc-emp,لوحة HR قبل المنح (Employee),403 منع افتراضيّ,HTTP 403,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-PERM-HRDIR-ADMIN,دليل HR للمدير (سياسة دور لا مطالبة),200,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-DIR-DEP-CREATE,إنشاء إدارة اصطناعيّة,200/201,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-DIR-UNIQ-NAME,تكرار اسم إدارة,409 + ProblemDetails,HTTP 409 | ct=application/problem+json; charset=utf-8,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-DIR-UNIQ-CODE,تكرار رمز إدارة,409 + ProblemDetails,HTTP 409,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-DIR-TEAM-CREATE,إنشاء فريق اصطناعيّ,200/201,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-DIR-UNIQ-TEAM,تكرار اسم فريق داخل الإدارة,409 + ProblemDetails,HTTP 409,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-DIR-ORG-rc-mgr,إسناد تنظيميّ لـrc-mgr,200/204,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-DIR-ORG-rc-emp,إسناد تنظيميّ لـrc-emp,200/204,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-DIR-ORG-rc-other,إسناد تنظيميّ لـrc-other,200/204,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-PERM-GRANT,منح المفاتيح الأدنى لـrc-hr,200/204,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-PERM-READBACK,قراءة صلاحيات rc-hr,المفتاحان فقط,"HTTP 200 | perms=['Attendance.Review', 'HrOperations.View']",PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-PERM-OLDTOKEN,الرمز القديم بعد المنح,403 حتّى إعادة الدخول,HTTP 403,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-PERM-ALLOW,لوحة HR بعد إعادة الدخول,200,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-PERM-QUEUE,طابور HR بمفتاح الرؤية,200,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-PERM-EXPORT-DENY,تصدير HR بلا مفتاح التصدير,403 (فصل المفاتيح),HTTP 403,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-PERM-UNAUTH,لوحة HR لموظّف بلا مفاتيح,403,HTTP 403,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-ATT-TYPES,أنواع الوقائع,200 + قائمة,HTTP 200 | count=6,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-ATT-DRAFT,إنشاء مسودّة واقعة (Late),200/201 + Draft,HTTP 200 | status=Draft,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-ATT-DRAFT-HIDDEN,المسودّة مخفيّة عن الموظّف,غير مدرجة,HTTP 200 | items=1 seen=True,FAIL,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-ATT-DRAFT-DIRECT,وصول مباشر للمسودّة من الموظّف,403/404,HTTP 404,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-ATT-SUBMIT,إرسال البلاغ,200 + AwaitingEmployee,HTTP 200 | status=AwaitingEmployee,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-ATT-VISIBLE,ظهور البلاغ للموظّف بعد الإرسال,مدرَج,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-ATT-DETAIL-EMP,تفاصيل الواقعة للموظّف,200 بلا hrNote,HTTP 200 | keys_hrNote=False,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-ATT-ACK,إقرار الموظّف,200 + AwaitingHr,HTTP 200 | status=AwaitingHr,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-IDOR-ATT,موظّف آخر يطلب الواقعة,403/404,HTTP 404,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-ATT-HRREVIEW-DENY,مراجعة HR من موظّف بلا مفتاح,403,HTTP 403,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-ATT-HRREVIEW,تأكيد HR بمفتاح Attendance.Review,200 + Confirmed,HTTP 200 | status=Confirmed,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-ATT-CLOSE,إغلاق الواقعة,200 + Closed,HTTP 200 | status=Closed,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-ATT-EVENTS,سجلّ أحداث الواقعة,≥4 أحداث,HTTP 200 | events=7,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-360-ME,ملفّ 360 الشخصيّ,200,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-360-IDOR,ملفّ 360 لموظّف آخر,403/404,HTTP 404,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-360-MGR,ملفّ 360 لمرؤوس من المدير,200,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-CHK-ME,قائمة الالتزام الشخصيّة,200,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-CHK-MANAGE-DENY,تحرير بند الالتزام بلا مفتاح,403,HTTP 403,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-RPT-TPL,قوالب التقارير,200,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-RPT-MINE,تسليماتي,200,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-RPT-DUE,حالة استحقاقي,200,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-RPT-PENDING,بانتظار اعتمادي (مدير),200,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-KPI-AGG,تجميع KPI,200,HTTP 400 — خطأ مِشدّ اختبار: المعامل الإلزاميّ granularity كان ناقصًا. أُعيد القياس في S-KPI-AGG2 ⇒ 200,SUPERSEDED,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-KPI-PERF,أداء KPI,200/400,HTTP 400,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-BAL-ME,أرصدتي,200,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-LEAVE-MY,طلبات إجازتي,200,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-LEAVE-PEND,إجازات بانتظار المدير,200,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-ESR-MY,طلباتي الخدميّة,200,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-DASH-ME,لوحتي,200,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-DASH-MGR,لوحة المدير,200,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-GOV-DENY,governance-summary من مدير,403,HTTP 403,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-DIR-USERS-EMP,دليل المستخدمين لموظّف,200 (بيانات عامّة),HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-PERM-READ-DENY,قراءة صلاحيات من موظّف,403,HTTP 403,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-AUDIT-PERM,أثر تدقيق لتغيير الصلاحيات,قيد يوثّق التغيير,HTTP 404 — خطأ مِشدّ اختبار: المسار الصحيح /api/audit-logs لا /api/audit. أُعيد القياس في S-AUDIT-PERM2 ⇒ 200,SUPERSEDED,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-PERM-REVOKE,سحب كلّ المفاتيح من rc-hr,200/204,HTTP 200,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-PERM-REVOKE-EFFECT,لوحة HR بعد السحب وإعادة الدخول,403,HTTP 403,PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-PERM-REVOKE-READBACK,قراءة الصلاحيات بعد السحب,قائمة فارغة,HTTP 200 | perms=[],PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-KPI-AGG2,تجميع KPI بمعاملات صحيحة (granularity=Monthly&periodKey=2026-08) — مدير,200 + مجموعة مُجمَّعة,HTTP 200 · granularity=Monthly · periodLabel=أغسطس 2026 · scopeType=department · canViewRows=true,PASS,evidence/phase9-extra.py,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-AUDIT-PERM2,سجلّ التدقيق /api/audit-logs — مدير نظام,200 + قيود تغيير الصلاحيّات,HTTP 200 · user.permissions.changed ×3 (before/after/granted/revoked) · user.org.changed ×10,PASS,evidence/audit-probe.py,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-AUDIT-DENY,سجلّ التدقيق من موظّف,403,HTTP 403,PASS,evidence/phase9-extra.py,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-UI-LOGIN-390,صفحة الدخول عند 390px,بلا تمرير أفقيّ,horizontalOverflow=false,PASS,screenshots/login-390.png,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-UI-LOGIN-768,صفحة الدخول عند 768px,بلا تمرير أفقيّ,horizontalOverflow=false,PASS,screenshots/login-768.png,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-UI-LOGIN-1440,صفحة الدخول عند 1440px,بلا تمرير أفقيّ,horizontalOverflow=false,PASS,screenshots/login-1440.png,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-UI-ADMIN-390,لوحة admin عند 390px,dir=rtl · بلا تمرير أفقيّ · قائمة تنقّل مطابقة للدور,dir=rtl · horizontalOverflow=false · navItems=8 · أخطاء وحدة تحكّم من المنتج=0,PASS,screenshots/admin-390.png,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-UI-ADMIN-768,لوحة admin عند 768px,dir=rtl · بلا تمرير أفقيّ · قائمة تنقّل مطابقة للدور,dir=rtl · horizontalOverflow=false · navItems=8 · أخطاء وحدة تحكّم من المنتج=0,PASS,screenshots/admin-768.png,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-UI-ADMIN-1440,لوحة admin عند 1440px,dir=rtl · بلا تمرير أفقيّ · قائمة تنقّل مطابقة للدور,dir=rtl · horizontalOverflow=false · navItems=8 · أخطاء وحدة تحكّم من المنتج=0,PASS,screenshots/admin-1440.png,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-UI-HR-390,لوحة hr عند 390px,dir=rtl · بلا تمرير أفقيّ · قائمة تنقّل مطابقة للدور,dir=rtl · horizontalOverflow=false · navItems=7 · أخطاء وحدة تحكّم من المنتج=0,PASS,screenshots/hr-390.png,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-UI-HR-768,لوحة hr عند 768px,dir=rtl · بلا تمرير أفقيّ · قائمة تنقّل مطابقة للدور,dir=rtl · horizontalOverflow=false · navItems=7 · أخطاء وحدة تحكّم من المنتج=0,PASS,screenshots/hr-768.png,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-UI-HR-1440,لوحة hr عند 1440px,dir=rtl · بلا تمرير أفقيّ · قائمة تنقّل مطابقة للدور,dir=rtl · horizontalOverflow=false · navItems=7 · أخطاء وحدة تحكّم من المنتج=0,PASS,screenshots/hr-1440.png,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-UI-MANAGER-390,لوحة manager عند 390px,dir=rtl · بلا تمرير أفقيّ · قائمة تنقّل مطابقة للدور,dir=rtl · horizontalOverflow=false · navItems=7 · أخطاء وحدة تحكّم من المنتج=0,PASS,screenshots/manager-390.png,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-UI-MANAGER-768,لوحة manager عند 768px,dir=rtl · بلا تمرير أفقيّ · قائمة تنقّل مطابقة للدور,dir=rtl · horizontalOverflow=false · navItems=7 · أخطاء وحدة تحكّم من المنتج=0,PASS,screenshots/manager-768.png,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-UI-MANAGER-1440,لوحة manager عند 1440px,dir=rtl · بلا تمرير أفقيّ · قائمة تنقّل مطابقة للدور,dir=rtl · horizontalOverflow=false · navItems=7 · أخطاء وحدة تحكّم من المنتج=0,PASS,screenshots/manager-1440.png,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-UI-EMPLOYEE-390,لوحة employee عند 390px,dir=rtl · بلا تمرير أفقيّ · قائمة تنقّل مطابقة للدور,dir=rtl · horizontalOverflow=false · navItems=6 · أخطاء وحدة تحكّم من المنتج=0,PASS,screenshots/employee-390.png,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-UI-EMPLOYEE-768,لوحة employee عند 768px,dir=rtl · بلا تمرير أفقيّ · قائمة تنقّل مطابقة للدور,dir=rtl · horizontalOverflow=false · navItems=6 · أخطاء وحدة تحكّم من المنتج=0,PASS,screenshots/employee-768.png,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-UI-EMPLOYEE-1440,لوحة employee عند 1440px,dir=rtl · بلا تمرير أفقيّ · قائمة تنقّل مطابقة للدور,dir=rtl · horizontalOverflow=false · navItems=6 · أخطاء وحدة تحكّم من المنتج=0,PASS,screenshots/employee-1440.png,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-UI-CONSOLE,نظافة وحدة التحكّم على كلّ الأدوار والمقاسات,صفر خطأ من المنتج,كلّ الأخطاء الملتقطة SignalR handshake + 404 على POST /hubs/notifications — مصدرها وسيط التحقّق المحلّيّ بلا ترقية WebSocket؛ nginx الخاصّ بـRC يحوي كتلة /hubs/ كاملة الترقية,PASS,evidence/rc-nginx-hubs.txt,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-UI-MGR-NOGOV,لوحة المدير لا تستدعي governance-summary,صفر نداء,57 نداء API ملتقَطًا · gov=[],PASS,evidence/phase910-results.json,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-PROD-UNTOUCHED,الإنتاج لم يُمسّ,بصمة مطابقة قبل/بعد,md5=ddf9598c0bf00f821a0aefe0c6cc1975 · mtime=2026-08-18 15:02:08 · MainPID=1556574 · ActiveEnter=2026-08-26 06:22:54 UTC · NRestarts=0 · migrations=42 · users=34,PASS,evidence/prod-BEFORE.txt · evidence/prod-AFTER.txt,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
S-RC-RECON,تطابق بيانات RC غير الاصطناعيّة قبل/بعد,تطابق حرفيّ,كلّ العدادات والبصمات الخمس متطابقة حرفيًّا في BEFORE/AFTER/AFTER2؛ الفارق الوحيد migrations 42→47 (٥ هجرات المرشّح),PASS,evidence/snapshot-rc-BEFORE.txt · evidence/snapshot-rc-AFTER.txt · evidence/snapshot-rc-AFTER2.txt,8479d374238b71731996ad73d20d1485701d2053,RC (rc-report.emarketingacademy.net / 127.0.0.1:5092 / reporting_rc)
