المستخدم (الدور),المفتاح,ممنوح؟,نقطة النهاية,المتوقَّع,المقيس,الحالة,ScenarioID,CandidateSHA,البيئة
rc-mgr (Manager),— (ملخّص الحوكمة),لا,GET /api/reports/governance-summary,403,HTTP 403,PASS,S-GOV-DENY,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
rc-admin (Admin),— (سياسة دور لا مطالبة),لا ينطبق,GET /api/directory/hr...,200 — مسار محكوم بالدور لا بمفتاح perm,HTTP 200,PASS,S-PERM-HRDIR-ADMIN,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
rc-emp (Employee),— (سجلّ التدقيق),لا,GET /api/audit-logs,403,HTTP 403,PASS,S-AUDIT-DENY,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
rc-admin (Admin),— (سجلّ التدقيق),لا ينطبق (ExecutiveOnly),GET /api/audit-logs,200 + قيود user.permissions.changed,HTTP 200 · user.permissions.changed ×3,PASS,S-AUDIT-PERM2,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
rc-hr (HR),كلّ المفاتيح,سُحِبت,PUT .../permissions {[]} ثمّ إعادة دخول,403 + قراءة راجعة [],HTTP 403 · perms=[],PASS,S-PERM-REVOKE / -EFFECT / -READBACK,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
أيّ مستخدم حقيقيّ على RC,HrOperations.View,لا — لم يُمنَح أيّ مفتاح لأيّ مستخدم حقيقيّ,—,userclaims_perm_nonsynth = 0,0 قبل وبعد (BEFORE/AFTER/AFTER2),PASS,S-RC-RECON,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
أيّ مستخدم حقيقيّ على RC,HrOperations.Export,لا — لم يُمنَح أيّ مفتاح لأيّ مستخدم حقيقيّ,—,userclaims_perm_nonsynth = 0,0 قبل وبعد (BEFORE/AFTER/AFTER2),PASS,S-RC-RECON,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
أيّ مستخدم حقيقيّ على RC,Attendance.Report,لا — لم يُمنَح أيّ مفتاح لأيّ مستخدم حقيقيّ,—,userclaims_perm_nonsynth = 0,0 قبل وبعد (BEFORE/AFTER/AFTER2),PASS,S-RC-RECON,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
أيّ مستخدم حقيقيّ على RC,Attendance.Review,لا — لم يُمنَح أيّ مفتاح لأيّ مستخدم حقيقيّ,—,userclaims_perm_nonsynth = 0,0 قبل وبعد (BEFORE/AFTER/AFTER2),PASS,S-RC-RECON,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
أيّ مستخدم حقيقيّ على RC,Attendance.Export,لا — لم يُمنَح أيّ مفتاح لأيّ مستخدم حقيقيّ,—,userclaims_perm_nonsynth = 0,0 قبل وبعد (BEFORE/AFTER/AFTER2),PASS,S-RC-RECON,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
أيّ مستخدم حقيقيّ على RC,Attendance.Escalate,لا — لم يُمنَح أيّ مفتاح لأيّ مستخدم حقيقيّ,—,userclaims_perm_nonsynth = 0,0 قبل وبعد (BEFORE/AFTER/AFTER2),PASS,S-RC-RECON,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
أيّ مستخدم حقيقيّ على RC,EmployeeChecklist.Manage,لا — لم يُمنَح أيّ مفتاح لأيّ مستخدم حقيقيّ,—,userclaims_perm_nonsynth = 0,0 قبل وبعد (BEFORE/AFTER/AFTER2),PASS,S-RC-RECON,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
أيّ مستخدم حقيقيّ على RC,Sensitivity.HrOnly.Read,لا — لم يُمنَح أيّ مفتاح لأيّ مستخدم حقيقيّ,—,userclaims_perm_nonsynth = 0,0 قبل وبعد (BEFORE/AFTER/AFTER2),PASS,S-RC-RECON,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
أيّ مستخدم حقيقيّ على RC,Sensitivity.ManagementConfidential.Read,لا — لم يُمنَح أيّ مفتاح لأيّ مستخدم حقيقيّ,—,userclaims_perm_nonsynth = 0,0 قبل وبعد (BEFORE/AFTER/AFTER2),PASS,S-RC-RECON,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
أيّ مستخدم حقيقيّ على RC,Sensitivity.Financial.Read,لا — لم يُمنَح أيّ مفتاح لأيّ مستخدم حقيقيّ,—,userclaims_perm_nonsynth = 0,0 قبل وبعد (BEFORE/AFTER/AFTER2),PASS,S-RC-RECON,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
أيّ مستخدم حقيقيّ على RC,Sensitivity.Medical.Read,لا — لم يُمنَح أيّ مفتاح لأيّ مستخدم حقيقيّ,—,userclaims_perm_nonsynth = 0,0 قبل وبعد (BEFORE/AFTER/AFTER2),PASS,S-RC-RECON,8479d374238b71731996ad73d20d1485701d2053,RC (127.0.0.1:5092 / reporting_rc)
