GapID,النطاق,البند,الحالة المصنَّفة,التنفيذ الفعليّ المقيس,الدليل,الأثر على العمل,يزول بإشعال العلم وحده؟
GAP-360-11,Employee 360,(11) الاستئذانات,Hidden by feature flag,نفس القسم عبر StartTime/EndTime (الاستئذان الساعيّ),Models.cs:99,محجوب,نعم
GAP-360-12,Employee 360,(12) الأرصدة,Hidden by feature flag,Employee360BalanceDto — محسوب من الحركات لا من حقل مخزَّن,Models.cs:109-111,محجوب,نعم
GAP-360-13,Employee 360,(13) طلبات خدمات الموظّفين,Hidden by feature flag,Employee360ServiceRequestDto ضمن RequestsAndBalances,Models.cs:104-107,محجوب,نعم
GAP-360-14,Employee 360,(14) الملاحظات الإداريّة,Hidden by feature flag,قسم Notes مع ترشيح حسّاسيّة — ما لا يجوز رؤيته لا يُسلسَل أصلًا,Models.cs:119-122 + Service.cs:540,محجوب,نعم
GAP-360-15,Employee 360,(15) الإجراءات التي تتطلّب متابعة,Implemented but incomplete,"لا قسم مستقلّ. يوجد علم RequiresAction داخل الملاحظة + عدّاد OpenNotesRequiringAction في الملخّص التشغيليّ — لكن لا قائمة إجراءات موحّدة عبر المصادر",Models.cs:121 + Models.cs:60,"المدير لا يرى قائمة واحدة بما يتطلّب تدخّله — وهو جوهر «Workspace لاتّخاذ القرار»",لا — يلزم بناء
GAP-360-16,Employee 360,(16) بنود الحوكمة والتصعيد,Hidden by feature flag,قسم Governance مبنيّ,Models.cs:124-125 + Service.cs:570,محجوب,نعم
GAP-360-17,Employee 360,(17) الخطّ الزمنيّ الموحّد,Hidden by feature flag,قسم Timeline مبنيّ مع ذكر المصدر صراحةً للتنقّل,Models.cs:133 + Service.cs:644,محجوب,نعم
GAP-360-18,Employee 360,(18) الأدلّة والمرفقات,Not implemented,لا DTO ولا قسم ولا مفتاح في enum الأقسام,code-evidence [5],"غير متاح — ونطاق اعتماده نفسه غير محدَّد (SOURCE_NOT_LOCATED)",لا — يحتاج قرار نطاق أوّلًا
GAP-360-19,Employee 360,(19) الصلاحيّات التي تتحكّم في ظهور كلّ قسم,Implemented but incomplete,"الآليّة قائمة وفعّالة: Service.cs:63 — القسم غير المصرَّح به لا يُضاف إلى القاموس أصلًا. لكن لا يُبلَّغ المستخدم بوجوده ولا سبب غيابه",Service.cs:60-67 + Models.cs:8,"سليم أمنيًّا (عدم إفشاء) لكنّ المستخدم لا يعرف أنّ الصورة ناقصة — قد يبني قرارًا على ملفّ يظنّه كاملًا",لا — قرار منتج: إشعار محايد لا يكشف الوجود
GAP-360-20,Employee 360,قسم زائد عن الطلب: التطوير والتدريب,Implemented and working (على TEST),قسم DevelopmentAndTraining مبنيّ وليس ضمن القائمة المطلوبة الـ19,Service.cs:96 + Models.cs:128-130,لا أثر سلبيّ — يُسجَّل للاكتمال,نعم
GAP-360-21,Employee 360,عزل فشل الأقسام,Implemented and working,BuildSectionSafeAsync:81-115 يلتقط الاستثناء ويعيد Status=Error لقسم واحد بلا إسقاط الباقي,Service.cs:81-115,"الحماية موجودة **داخل** الحمولة فقط؛ فشل النداء الخارجيّ (404) يُسقِط اللوحة كلّها",لا — يلزم توسيع المبدأ إلى النداء الخارجيّ
GAP-DIR-01,دليل الموظفين,نقطة نهاية قائمة موظّفين محكومة بالنطاق,Not implemented,/api/employees ⇒ 404 · EmployeesController فيه 4 HttpGet كلّها {userId:guid} أو me,production-http-anonymous-probes.txt + code-evidence [3],"5 قادة فرق و3 مديرين لا يستطيعون الوصول إلى قائمة موظّفيهم إطلاقًا",لا
GAP-DIR-02,دليل الموظفين,رابط التصفّح في القائمة الجانبيّة,Blocked by permission,navConfig.ts:164 — roles: HR_EMPLOYEE ⇒ Manager وTeamLeader لا يريان الرابط أصلًا,navConfig.ts:164,"حتّى السطح البديل (/app/hr-employees) غير مرئيّ للجمهور المستهدَف",لا
GAP-DIR-03,دليل الموظفين,اعتراف الكود بالقصور,Not implemented (موثَّق ذاتيًّا),"navConfig.ts:161-163 — «لا يوجد دليل مستقلّ محكوم بالنطاق في النظام حتّى الآن — مسجَّل كقصور معروف، وممنوع اختراع سطح جديد يوهم بقدرة لا يفرضها الخادم»",navConfig.ts:161-163,"الفجوة معروفة ومعلنة — والموقف بعدم اختراع سطح كاذب سليم",لا
GAP-ATT-01,الحضور,وصول السطح,Hidden by feature flag,17 حارس if (Disabled) return NotFound() في AttendanceController,code-evidence [2],الشاشة لا تصل إلى نتيجة أبدًا,نعم
GAP-ATT-02,الحضور,اتّساق القائمة مع الخادم,Implemented but failing,"navConfig.ts:166 بلا roles وبلا permissionsAny ⇒ يظهر لكلّ مصادَق عليه بمن فيهم 20 موظّفًا",attendance-loading-analysis.txt [هـ],"القائمة تَعِد بما ينكره الخادم — انهيار ثقة",لا — يلزم مصدر حقيقة للأعلام
GAP-ATT-03,الحضور,عمى الواجهة عن الأعلام,Missing implementation,صفر إشارة أعلام في reporting-frontend/src · /api/feature-flags ⇒ 404,code-evidence [4] + probes,الاتّساق مستحيل بالبناء الحاليّ لا مُهمَل بالسهو,لا
GAP-ATT-04,الحضور,حالات التحميل والفراغ والخطأ,Implemented and working,"AttendancePage.tsx:546 هيكل · :547 QueryError · :550-552 «لا توجد وقائع مطابقة لهذه المرشِّحات ضمن نطاق رؤيتك»",attendance-loading-analysis.txt [ج],"المطلوب في معيار القبول **منفَّذ فعلًا** — لكنّه لا يُبلَغ لأنّ النداء لا ينجح",نعم
GAP-ATT-05,الحضور,ديمومة هيكل التحميل,ROOT_CAUSE_NOT_PROVEN,"main.tsx:10 new QueryClient() ⇒ retry:3 بتراجع 1+2+4ث ⇒ يُتوقَّع الانتقال إلى الخطأ خلال ≈7ث · المعترض لا يتعامل إلّا مع 401 · لا timeout",attendance-loading-analysis.txt [أ][ب][و],"حكم الرحلة FAIL بلا انتظار هذا الدليل — الدليل الناقص: HAR مصادَق من الإنتاج (BLOCKED_BY_PRODUCTION_SAFETY)",لا ينطبق
GAP-ATT-06,الحضور,منتقي الموظّف في نموذج البلاغ,Implemented but incomplete,"AttendancePage.tsx:101-108 — Input نصّ حرّ «معرّف الموظّف» بينما الحقل المجاور :111 يستعمل Select",attendance-loading-analysis.txt [د],الرحلة غير قابلة للتنفيذ عمليًّا لأيّ مدير,لا
GAP-KPI-01,KPI,نافذة العرض الافتراضيّة,Implemented but incomplete,KpiPage.tsx:125 useState('') يُملأ من WeeklyCycleCalendarPicker :254-258 بالدورة الأسبوعيّة الجارية,evidence + KpiPage.tsx,المستخدم لا يرى الربع الجاري تلقائيًّا,لا
GAP-KPI-02,KPI,قراءة تواتر التقييم من إعدادات الموظّف,Missing implementation,"KpiPage.tsx:122,146 — التواتر مُثبَّت في الكود على WeeklyPulse؛ وسابقة ReportCadencePolicy.ExpectedCadence قائمة في مجال التقارير ولا يستدعيها KPI",KpiPage.tsx:122;146 + ReportCadencePolicy.cs:10;16,"يُفترَض أنّ كلّ الموظّفين أسبوعيّون — و77 تقييمًا على الإنتاج كلّها Weekly فعلًا، ما يخفي الفجوة",لا
GAP-KPI-03,KPI,الربع بوصفه مفهومًا مخزَّنًا,Missing implementation,جدول kpi_evaluations لا يحوي Year ولا Quarter — الربع مشتقّ في طبقة التطبيق من PeriodKey,production-database-readonly.txt,"إدخال الربع ليس تغيير قيمة افتراضيّة بل إدخال مفهوم",لا
GAP-FIN-01,التصدير الماليّ,حبيبة الصفّ,Implemented but incomplete,KpiFinanceExportRowDto مفتاحه EvaluationId ⇒ صفّ لكلّ تقييم,KpiModels.cs:286-312,"44 صفًّا بدل 14 على بيانات Q3-2026 الحيّة — تضخّم 3.14 ضعفًا",لا
GAP-FIN-02,التصدير الماليّ,غياب التجميع,Implemented but incomplete,GetFinanceExportAsync:780-919 يُسقِط بـSelect بلا GroupBy (:892-915) ولا يستدعي GetAggregateAsync (:656-776) إطلاقًا,KpiEvaluationService.cs,"دالّة التجميع مبنيّة ومعطَّلة الاستعمال — الجهد مبذول والقيمة غير موصَّلة",لا
GAP-FIN-03,التصدير الماليّ,الحقول الستّة عشر المطلوبة,Missing implementation,"لا عدد فترات مطلوبة/موجودة/معتمدة، ولا فترات ناقصة، ولا نسبة تغطية، ولا درجة مجمَّعة، ولا حالة اعتماد ربعيّة، ولا استثناءات حاجبة، ولا نسخة معادلة",KpiModels.cs:286-312,المالية تعيد التجميع يدويًّا خارج النظام,لا
GAP-FIN-04,التصدير الماليّ,معادلة التجميع المعتمدة,PRODUCT_DECISION_REQUIRED,"لا معادلة موثَّقة. والقياس يثبت أنّ السؤال ليس افتراضيًّا: توزيع الأسابيع المعتمدة = 0 لسبعة موظّفين، 1 لثلاثة، 2 لأربعة، 3 لثلاثة، 6 لأربعة — ولا موظّف واحد بتغطية كاملة من 9 أسابيع",finance-export-gap-measurement.txt,"اختيار المتوسّط البسيط أو المرجَّح يغيّر درجة كلّ موظّف فعليًّا — أثر ماليّ مباشر",لا — ممنوع اختراع معادلة
GAP-FIN-05,التصدير الماليّ,معيار القبول,WRONG_ACCEPTANCE_CRITERIA,KpiFinanceExportTests.cs ترسّخ الشكل الخامّ بوصفه صحيحًا,اختبارات الحزمة الخضراء,"اختبار ناجح على متطلّب مُساء فهمه ⇒ ثقة زائفة",لا
GAP-GOV-01,الحوكمة,نموذج الصلاحيّات على الإنتاج,PERMISSION_MODEL_GAP,AspNetUserClaims(perm)=0 · AspNetRoleClaims(perm)=0,production-database-readonly.txt,"إشعال الأعلام وحده يكشف أسطحًا لا يملك أحد مفاتيحها",لا — يقترن بقرار منح
GAP-GOV-02,الحوكمة,البند الوحيد المتّسق في القائمة,Implemented and working,people.hr-operations في navConfig.ts:176 محكوم بـpermissionsAny ⇒ يختفي صحيحًا لأنّ المنح صفر,navConfig.ts:174-176,"يقوّي التشخيص: حين تُستعمل البوّابة الصحيحة يعمل النظام كما يجب",لا ينطبق
GAP-UX-01,عرض الأخطاء,رسالة «خطأ مؤقّت» لخطأ دائم,UX_WORKFLOW_DEFECT,"Employee360Panel.tsx:432 retry:false ثمّ :444-450 «قد يكون هذا الموظّف خارج نطاق صلاحيتك، أو حدث خطأ مؤقّت. أعد المحاولة»",code-evidence [7],"الرسالة تَعِد بنجاح مستحيل: 404 العلم دائم لا مؤقّت",لا
GAP-UX-02,عرض الأخطاء,خلط رسالتين مختلفتين,معلومة تشخيصيّة (لا عيب),"EmployeeProfilePage.tsx:88 «تعذّر تحميل الملف» (مستوى الصفحة) ≠ Employee360Panel.tsx:448 «تعذّر تحميل الملفّ الشامل» (مستوى اللوحة)",code-evidence [7],يجب عدم الخلط بينهما عند العلاج,لا ينطبق
GAP-UX-03,ملفّ الموظّف,تكوين الصفحة الإداريّة من مصدرين,معلومة تشخيصيّة حاسمة,"EmployeeProfilePage.tsx:148,184,230,280,300,351 من /api/dashboard/employee-profile (DashboardController.cs:40-42 بلا حارس علم) ثمّ :372 Employee360Panel الذي يردّ 404",code-evidence [6],"يفسّر لقطة مالك المنتج حرفيًّا: أقسام تعمل ثمّ خطأ في الذيل — والأقسام الظاهرة ليست Employee 360",نعم لبطاقة الخطأ
GAP-ACC-01,معيار القبول,الاعتماد على بيئة غير مطابقة,WRONG_ACCEPTANCE_CRITERIA,UAT اعتُمِد على TEST بأعلام مشتعلة بينما الإنتاج مطفأ,phase2-flags-three-environments.txt,"تقرير P123-UAT-FULL-EMPLOYEE-JOURNEY لا يصلح دليلًا على سلوك الإنتاج",لا ينطبق
GAP-TRC-01,التتبّع,غياب مصدر متطلّبات متتبَّع,TEST_COVERAGE_GAP,"الكود يستشهد بـP2-EMP-002 و§9 ولا ملفّ md في Docs/ يذكر Phase2 أو P2-EMP",بحث موجَّه — 0 تطابق,"لا يمكن إثبات أنّ ما بُنِي يطابق ما اعتُمِد — يُسجَّل ولا يُفترَض",لا
