RCID,المشكلة المُبلَّغة,السبب الجذريّ المُثبَت,التصنيف المعتمد,الدليل القاطع,حالة الإثبات,الدليل الناقص إن لم يُثبَت,يزول بقرار تشغيل أم يحتاج بناء؟
RC-11,نموذج البلاغ يطلب «معرّف الموظّف»,"AttendancePage.tsx:101-108 حقل Input نصّ حرّ بلا بحث ولا قائمة ولا تحقّق، بينما /api/directory/users قائم (401) والحقل المجاور :111 يستعمل Select",UX_WORKFLOW_DEFECT (خالص — وليس ثغرة صلاحيّة),"attendance-loading-analysis.txt [د] + production-http-anonymous-probes.txt + **AttendanceService.cs:157-199**: التحقّق الخادميّ للنطاق **قائم وسليم فعلًا** (:162 سياق رؤية على SubjectUserId · :166-167 رفض البلاغ على النفس بـ403 بتعليل موثَّق · :170-171 CanReport يردّ 404 موحَّدًا لخارج النطاق وللمعدوم · :174-180 مفتاح تكرار يمنع الازدواج)",مُثبَت,—,"بناء (R4) — **واجهة خالصة**؛ الخادم لا يُمسّ. أُسقِط بند «بناء تحقّق خادميّ» من الخطّة بعد القياس"
RC-12,KPI لا يفتح على الربع الجاري,"دمج Reporting Window مع Evaluation Cadence: KpiPage.tsx:125 useState('') يُملأ من WeeklyCycleCalendarPicker :254-258 بالدورة الأسبوعيّة؛ وEmployee360Service.cs:127-134 يسقط افتراضيًّا إلى LastCompletedWeek()",REQUIREMENT_MISINTERPRETATION,code-evidence + KpiPage.tsx:125;254-258,مُثبَت,—,بناء (R5)
RC-13,النظام لا يقرأ تواتر تقييم الموظّف من إعداداته,"التواتر مُثبَّت في الكود على WeeklyPulse في KpiPage.tsx:122,146 — لا قراءة من أيّ إعداد موظّف. وسابقة قائمة في النظام لكن في مجال التقارير لا KPI: ReportCadencePolicy.ExpectedCadence(jobRoleCode) وReportTemplate.DefaultPeriodType=Weekly — أي أنّ التواتر مشتقّ من المسمّى الوظيفيّ لا من إعداد الموظّف الفرديّ، وKPI لا يستدعي هذه السابقة إطلاقًا",MISSING_IMPLEMENTATION,KpiPage.tsx:122;146 + ReportCadencePolicy.cs:10;16 + ReportTemplate.cs:12 (كلّها مثبَّتة على 897c9b18),مُثبَت,—,بناء (R5) — بإعادة استعمال السابقة لا باختراع آليّة · ومستوى التواتر (مسمّى وظيفيّ أم موظّف فرديّ) بند في DEC-01
RC-14,الربع غير موجود بوصفه مفهومًا مخزَّنًا,"جدول kpi_evaluations لا يحوي عمودَي Year ولا Quarter؛ الربع مشتقّ في طبقة التطبيق من PeriodKey. و77 تقييمًا على الإنتاج كلّها Weekly (صفر شهريّ وصفر ربعيّ)",MISSING_IMPLEMENTATION,production-database-readonly.txt,مُثبَت,—,بناء (R5) — إدخال مفهوم لا تغيير قيمة افتراضيّة
RC-15,التصدير الماليّ غير مجمَّع,"العقد نفسه خام: KpiFinanceExportRowDto مفتاحه EvaluationId (KpiModels.cs:286-312)؛ وGetFinanceExportAsync:780-919 يُسقِط بـSelect بلا GroupBy (:892-915) ولا يستدعي GetAggregateAsync (:656-776) إطلاقًا",PARTIAL_IMPLEMENTATION,finance-export-gap-measurement.txt + KpiModels.cs + KpiEvaluationService.cs,مُثبَت — 44 صفًّا مقابل 14 مستهدَفًا على بيانات Q3-2026 الحيّة,—,بناء (R6)
RC-16,معيار قبول التصدير الماليّ كان خاطئًا,KpiFinanceExportTests.cs ترسّخ الشكل الخامّ بوصفه صحيحًا ⇒ الحزمة الخضراء تحرس المخرَج الخاطئ,WRONG_ACCEPTANCE_CRITERIA,مراجعة اختبارات التصدير,مُثبَت,—,بناء (R6 + R7)
RC-17,لا معادلة معتمدة لتجميع الأداء الربعيّ,"لا معادلة موثَّقة في أيّ مصدر. والقياس يثبت أنّ الخيار ذو أثر ماليّ: أعلى تغطية 6 أسابيع من 9، وتوزيع الأسابيع المعتمدة 0→7 موظّفين، 1→3، 2→4، 3→3، 6→4 — ولا موظّف واحد بتغطية كاملة",PRODUCT_DECISION_REQUIRED,finance-export-gap-measurement.txt,مُثبَت أنّ القرار مطلوب,—,قرار مالك المنتج قبل أيّ بناء
RC-18,نموذج الصلاحيّات مُفرَّغ على الإنتاج,"AspNetUserClaims(perm)=0 وAspNetRoleClaims(perm)=0 — آليّة RequireClaim منشورة وفعّالة لكن لا منح لأحد. **وهذا أيضًا مؤجَّل موثَّق لا سهو:** Ops/P2-…:419 يدرج «إسناد المفاتيح الثمانية إلى أدوار مخزَّنة فعليّة (قرار حوكمة + سكربت منح مُراجَع)» أوّلَ بند تحت «مؤجَّل إلى المرحلة الثالثة حصرًا»",PERMISSION_MODEL_GAP + PRODUCT_DECISION_REQUIRED,production-database-readonly.txt + Ops/P2-…-20260825.md:419,مُثبَت,—,قرار مالك المنتج (يقترن بإشعال الأعلام إلزامًا) — DEC-02
RC-19,الاستشهاد بتقرير UAT بوصفه دليلًا على الإنتاج,"UAT اعتُمِد على TEST حيث الأعلام الأربعة =true بينما الإنتاج مطفأ ⇒ الرحلات غير قابلة لإعادة الإنتاج بنيويًّا",WRONG_ACCEPTANCE_CRITERIA,phase2-flags-three-environments.txt,مُثبَت,—,بناء عمليّة (R7 — UAT على بيئة مطابقة)
RC-20,غياب مصدر متطلّبات متتبَّع,"**مُصحَّح — الحكم السابق كان خاطئًا بسبب نطاق بحث ضيّق.** المصدر **موجود فعلًا** لكن في Ops/ لا في Docs/: Ops/P2-EMPLOYEE360-HR-OPERATIONS-IMPLEMENTATION-REPORT-20260825.md (§19 وما قبله) وOps/P3-NAVIGATION-FINAL-LOCAL-RELEASE-READINESS-REPORT-20260825.md (§11). **تصحيح ثانٍ (27 أغسطس):** حتّى المعرّفات تُحَلّ فعلًا — P2-EMP-002 بند مرقَّم في طابور تنفيذ من أحد عشر بندًا (Ops/P2-…:30-40) وله مواصفة كاملة (§4 :79-106)، و§9 يُحَلّ إلى :105. ⇒ **لا فجوة تتبّع بالمعنى الحرفيّ إطلاقًا.** الفجوة المتبقّية الوحيدة **نوعيّة لا وجوديّة**: الطابور سجلّ **إتمام تنفيذ** لا سجلّ **نتائج تجاريّة**؛ معياره «السطح مبنيّ ومختبَر» فأعلن 11/11 COMPLETED، بينما القبول التجاريّ FAIL — وهو بالضبط ما يقيسه RC-22",WRONG_ACCEPTANCE_CRITERIA,"Ops/P2-…-20260825.md:30-40;79-106;315;420 + Ops/P3-…-20260825.md:459-468;711-714 (مثبَّتة على 897c9b18)",مُثبَت — بعد تصحيحَين,—,"قرار توثيقيّ (R7) — ربط الطابور بنتائج تجاريّة قابلة للقياس؛ والمصدر والمعرّفات قائمان فلا يُنشأ شيء من الصفر"
RC-22,"«الميزات منشورة إذن هي متاحة» — فجوة التوقّع لا فجوة التنفيذ","**السبب الجذريّ الأعمق للمشكلات الأربع الأولى.** إطفاء أعلام Phase2 على الإنتاج **ليس سهوًا في النشر**: هو قرار تصميم موثَّق ومقصود. Ops/P3-…:459 ينصّ حرفيًّا «لا يوجد قسم Phase2 في appsettings.json ⇒ الافتراضيّ لكلّ منها false (مطفأ) في كلّ بيئة ما لم يُضبَط صراحةً»، و:468 «تفعيلها في هذه الدورة كان داخل مصنع الاختبار المعزول حصرًا ولم يُفعَّل أيّ علم في أيّ بيئة مشتركة». وOps/P2-…:417-420 يدرج تحت عنوان «مؤجَّل إلى المرحلة الثالثة حصرًا»: (1) إسناد المفاتيح الثمانية إلى أدوار مخزَّنة فعليّة — قرار حوكمة + سكربت منح مُراجَع · (2) رفع أعلام Phase2:* على أيّ بيئة وما يستلزمه من تخطيط نشر ونسخ احتياطيّ. ⇒ **الميزات شُحِنت مُظلمة عمدًا (dark launch)، وخطوة الإشعال كانت مؤجَّلة صراحةً وبتصريح مستقلّ — ولم تُنفَّذ قطّ**، بينما بُني التوقّع التجاريّ على أنّها متاحة",WRONG_ACCEPTANCE_CRITERIA + DEPLOYMENT_CONFIGURATION_GAP,"Ops/P3-…-20260825.md:459;463-466;468 + Ops/P2-…-20260825.md:106;315;417-420 + phase2-flags-three-environments.txt",مُثبَت,—,"قرار تشغيل (D0+E0) — والكود ليس معيبًا في هذا الوجه؛ المعيب هو معيار القبول الذي عدّ «منشور» مرادفًا لـ«متاح»"
RC-21,الجذر المشترك لأربع مشكلات,"لا مصدر حقيقة واحد يحكم ثلاثيّة الإعداد ← الصلاحيّة ← ما يراه المستخدم: المفاتيح في الخادم فقط، والقائمة تُبنى بثلاث آليّات مستقلّة (alwaysVisible / roles / permissionsAny) لا يعرف أيّ منها بوجود المفاتيح",FEATURE_FLAG_INCONSISTENCY,navConfig.ts:150-178 + code-evidence [4],مُثبَت,—,بناء (R1)
